"period";"yearmonth";"profilID";"insurer";"coverage";"type";"date_aspiration";"price"
"Y17W25";"Y17M06";"LOAN2017_104";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-24";"814"
"Y17W25";"Y17M06";"LOAN2017_104";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"915"
"Y17W25";"Y17M06";"LOAN2017_107";"AsCourtage";"Minimum";"RESIDUAL";"2017-06-24";"1301"
"Y17W25";"Y17M06";"LOAN2017_104";"Groupe AXA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"1369"
"Y17W25";"Y17M06";"LOAN2017_104";"Groupe AVIVA";"Formule Optimum";"CLASSIQUE";"2017-06-24";"1390"
"Y17W25";"Y17M06";"LOAN2017_107";"AsCourtage";"Formule Optimum";"RESIDUAL";"2017-06-24";"3297"
"Y17W25";"Y17M06";"LOAN2017_104";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"1536"
"Y17W25";"Y17M06";"LOAN2017_105";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-24";"93404"
"Y17W25";"Y17M06";"LOAN2017_105";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"105512"
"Y17W25";"Y17M06";"LOAN2017_102";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-23";"11402"
"Y17W25";"Y17M06";"LOAN2017_106";"AXA";"Minimum";"CLASSIQUE";"2017-06-24";"2248"
"Y17W25";"Y17M06";"LOAN2017_106";"Cardif";"Minimum";"BANCASSUREUR";"2017-06-24";"2363"
"Y17W25";"Y17M06";"LOAN2017_106";"MAAF Assurances";"Minimum";"MUTUELLE";"2017-06-24";"2445"
"Y17W25";"Y17M06";"LOAN2017_106";"Groupe AXA";"Minimum";"CLASSIQUE";"2017-06-24";"2672"
"Y17W25";"Y17M06";"LOAN2017_103";"Zen'up";"Minimum";"RESIDUAL";"2017-06-25";"3535"
"Y17W25";"Y17M06";"LOAN2017_106";"Groupe AVIVA";"Minimum";"CLASSIQUE";"2017-06-24";"3101"
"Y17W25";"Y17M06";"LOAN2017_106";"Cardif";"Formule Optimum";"BANCASSUREUR";"2017-06-24";"3538"
"Y17W25";"Y17M06";"LOAN2017_103";"Zen'up";"Formule Optimum";"RESIDUAL";"2017-06-25";"5845"
